Probe	Loci/Model	Genome	Condition	Phase	Correlation	Expression Data
258456_at	ct01-sine	A. thaliana	longday	1	0.837527	306.208,289.695,182.356,124.558,141.072,248.411,306.208,289.695,182.356,124.558,141.072,248.411
257771_at	AT3G23000	A. thaliana	longday	5	0.904581	755.089,1545.37,652.636,506.342,543.26,292.871,699.613,1325.1,953.627,443.341,645.804,252.884
257771_at	ct05-spike	A. thaliana	longday	5	0.904581	514.644,1429.72,819.669,514.644,514.644,514.644,514.644,1429.72,819.669,514.644,514.644,514.644
256861_at	AT3G23920	A. thaliana	longday	3	0.94962	950.436,1872.34,758.226,701.821,841.107,593.458,941.311,1574.99,842.919,728.802,832.819,504.51
256861_at	ct03-spike	A. thaliana	longday	3	0.94962	1037.77,1693.04,710.141,710.141,710.141,710.141,1037.77,1693.04,710.141,710.141,710.141,710.141
257252_at	AT3G24170	A. thaliana	longday	3	0.908043	1037.49,1399.18,607.042,551.115,841.695,670.118,928.131,1315.0,675.208,574.724,956.326,590.771
257252_at	ct03-spike	A. thaliana	longday	3	0.908043	921.558,1377.51,693.584,693.584,693.584,693.584,921.558,1377.51,693.584,693.584,693.584,693.584
257794_at	AT3G27050	A. thaliana	longday	3	0.818997	361.914,492.867,286.47,186.578,396.41,325.399,381.164,541.025,297.209,175.616,339.075,320.39
257794_at	ct03-spike	A. thaliana	longday	3	0.818997	367.207,518.39,291.615,291.615,291.615,291.615,367.207,518.39,291.615,291.615,291.615,291.615
256751_at	AT3G27170	A. thaliana	longday	3	0.896522	276.263,408.229,95.2305,61.4586,217.178,112.57,292.091,381.675,117.066,57.5839,185.349,74.028
256751_at	ct03-spike	A. thaliana	longday	3	0.896522	222.142,415.63,125.397,125.397,125.397,125.397,222.142,415.63,125.397,125.397,125.397,125.397
252669_at	AT3G44100	A. thaliana	longday	5	0.818204	584.742,1263.48,812.822,750.507,871.332,511.018,555.703,1331.19,974.486,825.552,987.209,405.195
252669_at	ct05-spike	A. thaliana	longday	5	0.818204	686.899,1298.31,890.704,686.899,686.899,686.899,686.899,1298.31,890.704,686.899,686.899,686.899
252316_at	AT3G48700	A. thaliana	longday	4	0.841588	14.0545,18.2891,15.1541,10.8613,10.3581,10.9706,14.4144,15.2567,11.0128,9.09789,9.14346,6.77402
252316_at	ct04-sine	A. thaliana	longday	4	0.841588	14.3508,15.4684,14.3508,9.88038,8.76278,9.88038,14.3508,15.4684,14.3508,9.88038,8.76278,9.88038
251860_at	AT3G54660	A. thaliana	longday	5	0.940855	955.458,1474.82,1064.38,659.68,808.925,668.962,905.843,1634.61,946.389,634.902,856.547,708.698
251860_at	ct05-spike	A. thaliana	longday	5	0.940855	770.863,1546.69,1029.47,770.863,770.863,770.863,770.863,1546.69,1029.47,770.863,770.863,770.863
251272_at	AT3G61890	A. thaliana	longday	3	0.947356	326.619,586.713,119.421,68.2036,152.813,207.087,338.916,823.182,228.376,65.8227,211.611,93.8777
251272_at	ct03-spike	A. thaliana	longday	3	0.947356	330.981,705.543,143.699,143.699,143.699,143.699,330.981,705.543,143.699,143.699,143.699,143.699
255503_at	AT4G02420	A. thaliana	longday	2	0.938172	64.0093,44.8306,11.6382,10.3697,19.6906,19.6324,51.8915,39.1558,13.423,11.9228,18.4422,11.5506
255503_at	ct02-spike	A. thaliana	longday	2	0.938172	49.9718,49.9718,14.5837,14.5837,14.5837,14.5837,49.9718,49.9718,14.5837,14.5837,14.5837,14.5837
255304_at	AT4G04850	A. thaliana	longday	5	0.861068	98.3839,179.072,104.154,65.6661,120.177,53.4492,115.033,243.069,158.027,59.6357,106.388,54.5461
255304_at	ct05-spike	A. thaliana	longday	5	0.861068	84.7909,212.332,127.305,84.7909,84.7909,84.7909,84.7909,212.332,127.305,84.7909,84.7909,84.7909
254874_at	AT4G11570	A. thaliana	longday	5	0.942467	368.826,1059.74,589.042,250.159,426.495,222.221,417.947,1014.55,679.888,241.426,521.724,226.936
254874_at	ct05-spike	A. thaliana	longday	5	0.942467	343.436,1055.08,580.651,343.436,343.436,343.436,343.436,1055.08,580.651,343.436,343.436,343.436
245601_at	AT4G14240	A. thaliana	longday	6	0.884644	92.7823,183.135,149.857,87.5823,126.943,76.0093,73.1118,180.758,152.922,89.145,120.77,69.649
245601_at	ct06-spike	A. thaliana	longday	6	0.884644	91.9991,166.668,166.668,91.9991,91.9991,91.9991,91.9991,166.668,166.668,91.9991,91.9991,91.9991
